Link Type,Location Type,Title,Link,URL,PDF Size (bytes),Page Count,Text-based,Tagged,Notes,Equalify Scan Results
Box,Page (ACF Field),EXITO Pilot Grant Program (Field: intro_text_body),https://uofi.box.com/s/y263gi4t6g9u755s3j3z5t6eirjq9jnh,https://ahs.uic.edu/inside-ahs/exito/exito-pilot-grant-program/,,,,,Skipped: Box access failed - Box file is not a PDF,
PDF,Page (ACF Field),Student Grievance policy (Field: intro_text_body),https://oae.uic.edu/wp-content/uploads/sites/32/2019/10/UIC_Student_Academic_Grievance_Procedures-and-Forms_FINAL_Sept-2019.pdf,https://ahs.uic.edu/inside-ahs/student-resources/policies-and-handbooks/student-grievance-policy/,258324.0,29.0,True,False,No StructTreeRoot tag,
Box,Page (ACF Field),Peer coaching (Field: intro_text_body),https://uofi.box.com/s/6mpkc8wbtmo45f3kn9noo9xdjucc3sqw,https://ahs.uic.edu/inside-ahs/academic-support-achievement-program/peer-coaching/,101682.0,1.0,True,True,StructTreeRoot tag found,
Box,News (ACF Field),UIC College of Medicine &#038; UI College of Dentistry Scholars for Teaching Excellence Faculty Fellowship (Field: intro_text_body),https://uofi.app.box.com/s/11yn2g8mv74gg8an94kmwkj1tgghtcee,https://ahs.uic.edu/inside-ahs/news-stories/uic-college-of-medicine-ui-college-of-dentistry-scholars-for-teaching-excellence-faculty-fellowship/,,,,,Skipped: Box access failed - Box file is not a PDF,
Box,News (ACF Field),UIC College of Medicine &#038; UI College of Dentistry Scholars for Teaching Excellence Faculty Fellowship (Field: intro_text_body),https://uofi.app.box.com/s/fgg5fgakpju8kgq9ur23txzjwnx2fs9b,https://ahs.uic.edu/inside-ahs/news-stories/uic-college-of-medicine-ui-college-of-dentistry-scholars-for-teaching-excellence-faculty-fellowship/,,,,,Skipped: Box access failed - Box file is not a PDF,
Box,News (ACF Field),Call for nominations: AHS Staff Award of Merit (Field: intro_text_body),https://uofi.app.box.com/s/vscsi7rizv223ze5kmtwx9sa68eclsck,https://ahs.uic.edu/inside-ahs/news-stories/call-for-nominations-ahs-staff-award-of-merit/,24968.0,3.0,True,False,No StructTreeRoot tag,
Box,News (ACF Field),Branded standing backdrop design files now available (Field: intro_text_body),https://uofi.app.box.com/folder/282210076769?s=egy37l8kj1n9scfx93s742c4r9vkclhy,https://ahs.uic.edu/inside-ahs/news-stories/branded-standing-backdrop-design-files-now-available/,,,,,"Skipped: Box access failed - Message: Not Found
Status: 404
Code: not_found
Request ID: edxks7i2ukdcnrgp
Headers: {'date': 'Fri, 27 Jun 2025 20:49:06 GMT', 'content-type': 'application/json', 'x-envoy-upstream-service-time': '154', 'box-request-id': '0d0d28b9afd7a94b9d7aff0a704d59fac', 'cache-control': 'no-cache, no-store', 'strict-transport-security': 'max-age=31536000', 'via': '1.1 google', 'Alt-Svc': 'h3="":443""; ma=2592000,h3-29="":443""; ma=2592000', 'Transfer-Encoding': 'chunked'}
URL: https://api.box.com/2.0/shared_items
Method: GET
Context Info: None",
Box,News (ACF Field),Branded standing backdrop design files now available (Field: intro_text_body),https://uofi.app.box.com/folder/282210076769?s=egy37l8kj1n9scfx93s742c4r9vkclhy</a></p>,https://ahs.uic.edu/inside-ahs/news-stories/branded-standing-backdrop-design-files-now-available/,,,,,"Skipped: Box access failed - Message: Not Found
Status: 404
Code: not_found
Request ID: 1imyt4i2ukdcw4mw
Headers: {'date': 'Fri, 27 Jun 2025 20:49:06 GMT', 'content-type': 'application/json', 'x-envoy-upstream-service-time': '171', 'box-request-id': '0c96b77620dc2ccb4d22cf7c19745e720', 'cache-control': 'no-cache, no-store', 'strict-transport-security': 'max-age=31536000', 'via': '1.1 google', 'Alt-Svc': 'h3="":443""; ma=2592000,h3-29="":443""; ma=2592000', 'Transfer-Encoding': 'chunked'}
URL: https://api.box.com/2.0/shared_items
Method: GET
Context Info: None",
Box,News (ACF Field),AHS branded Zoom backgrounds (Field: intro_text_body),https://uofi.box.com/s/egy37l8kj1n9scfx93s742c4r9vkclhy,https://ahs.uic.edu/inside-ahs/news-stories/ahs-branded-zoom-backgrounds/,,,,,"Skipped: Box access failed - Message: Not Found
Status: 404
Code: not_found
Request ID: a0ddjji2ukdd217k
Headers: {'date': 'Fri, 27 Jun 2025 20:49:06 GMT', 'content-type': 'application/json', 'x-envoy-upstream-service-time': '137', 'box-request-id': '0cf00aab76635f061ca4c534b0629f718', 'cache-control': 'no-cache, no-store', 'strict-transport-security': 'max-age=31536000', 'via': '1.1 google', 'Alt-Svc': 'h3="":443""; ma=2592000,h3-29="":443""; ma=2592000', 'Transfer-Encoding': 'chunked'}
URL: https://api.box.com/2.0/shared_items
Method: GET
Context Info: None",
Box,News (ACF Field),AHS branded Zoom backgrounds (Field: intro_text_body),https://uofi.app.box.com/folder/110185802100?s=7rvqpdaf4rj0ewj4qhc94zqjws8lgyiw</a></p>,https://ahs.uic.edu/inside-ahs/news-stories/ahs-branded-zoom-backgrounds/,,,,,"Skipped: Box access failed - Message: Not Found
Status: 404
Code: not_found
Request ID: j20p06i2ukddafwn
Headers: {'date': 'Fri, 27 Jun 2025 20:49:07 GMT', 'content-type': 'application/json', 'x-envoy-upstream-service-time': '145', 'box-request-id': '0d1ac7f641333fd39dc3cc91773fe1fcd', 'cache-control': 'no-cache, no-store', 'strict-transport-security': 'max-age=31536000', 'via': '1.1 google', 'Alt-Svc': 'h3="":443""; ma=2592000,h3-29="":443""; ma=2592000', 'Transfer-Encoding': 'chunked'}
URL: https://api.box.com/2.0/shared_items
Method: GET
Context Info: None",
Box,News (ACF Field),Branded giveaways and swag (Field: intro_text_body),https://uofi.box.com/s/uqtmqpcbyaz23cush0ba4gwq5ds3l1bw,https://ahs.uic.edu/inside-ahs/news-stories/branded-giveaways-and-swag/,63645.0,3.0,True,False,No StructTreeRoot tag,
Box,News (ACF Field),"UIC Researcher Interviewed, Research Cited in Chicago Tribune Article (Field: intro_text_body)",https://uofi.box.com/s/95l6t96hhn6so9kpcu4wnoltc3bnnwx4,https://ahs.uic.edu/inside-ahs/news-stories/uic-researcher-interviewed-research-cited-in-chicago-tribune-article/,,,,,Skipped: Box access failed - Box file is not a PDF,
Box,News (ACF Field),Become a Research Learning Community as part of UIC&#8217;s AHS EXITO Program (Field: intro_text_body),https://uofi.box.com/s/0v8c7j8vtt7cu03aycu7uhgpbkt70p7h,https://ahs.uic.edu/inside-ahs/news-stories/become-a-research-learning-community-as-part-of-uics-ahs-exito-program/,,,,,"Skipped: Box access failed - Message: Not Found
Status: 404
Code: not_found
Request ID: w3w32ci2ukdfbted
Headers: {'date': 'Fri, 27 Jun 2025 20:49:10 GMT', 'content-type': 'application/json', 'x-envoy-upstream-service-time': '215', 'box-request-id': '01f2dfa2621b2ff5f45948b772a8f0fa5', 'cache-control': 'no-cache, no-store', 'strict-transport-security': 'max-age=31536000', 'via': '1.1 google', 'Alt-Svc': 'h3="":443""; ma=2592000,h3-29="":443""; ma=2592000', 'Transfer-Encoding': 'chunked'}
URL: https://api.box.com/2.0/shared_items
Method: GET
Context Info: None",
Box,News (ACF Field),Become a Research Learning Community as part of UIC&#8217;s AHS EXITO Program (Field: intro_text_body),https://uofi.box.com/s/txzt7k7ypgkw5oshigap0gxgpichh0u5,https://ahs.uic.edu/inside-ahs/news-stories/become-a-research-learning-community-as-part-of-uics-ahs-exito-program/,,,,,"Skipped: Box access failed - Message: Not Found
Status: 404
Code: not_found
Request ID: qbvc5ni2ukdfkb14
Headers: {'date': 'Fri, 27 Jun 2025 20:49:10 GMT', 'content-type': 'application/json', 'x-envoy-upstream-service-time': '172', 'box-request-id': '09eb3ca12016c516ec7665e77ea819b07', 'cache-control': 'no-cache, no-store', 'strict-transport-security': 'max-age=31536000', 'via': '1.1 google', 'Alt-Svc': 'h3="":443""; ma=2592000,h3-29="":443""; ma=2592000', 'Transfer-Encoding': 'chunked'}
URL: https://api.box.com/2.0/shared_items
Method: GET
Context Info: None",
Box,News (ACF Field),DHD/IDHD Annual Report is Here! (Field: intro_text_body),https://uofi.box.com/s/wky763jdwn0bgyskst2b0m069tfxeup3,https://ahs.uic.edu/inside-ahs/news-stories/dhd-idhd-annual-report-is-here/,13678610.0,28.0,True,True,StructTreeRoot tag found,
Box,News (ACF Field),DHD/IDHD Annual Report is Here! (Field: intro_text_body),https://uofi.box.com/s/wky763jdwn0bgyskst2b0m069tfxeup3</a></p>,https://ahs.uic.edu/inside-ahs/news-stories/dhd-idhd-annual-report-is-here/,,,,,"Skipped: Box access failed - Message: Not Found
Status: 404
Code: not_found
Request ID: 3sg13si2ukdi2qtq
Headers: {'date': 'Fri, 27 Jun 2025 20:49:14 GMT', 'content-type': 'application/json', 'x-envoy-upstream-service-time': '113', 'box-request-id': '0eca6f818b01380cce567c6cd7a69c5e3', 'cache-control': 'no-cache, no-store', 'strict-transport-security': 'max-age=31536000', 'via': '1.1 google', 'Alt-Svc': 'h3="":443""; ma=2592000,h3-29="":443""; ma=2592000', 'Transfer-Encoding': 'chunked'}
URL: https://api.box.com/2.0/shared_items
Method: GET
Context Info: None",
Box,News (ACF Field),Request for Proposals: “What If&#8230; Awards for Creative Medical Research” (Field: intro_text_body),https://uofi.box.com/s/p27mpibd2zeiwla1xl2dhpfjft79reu6,https://ahs.uic.edu/inside-ahs/news-stories/request-for-proposals-what-if-awards-for-creative-medical-research/,,,,,"Skipped: Box access failed - Message: Not Found
Status: 404
Code: not_found
Request ID: 2xv5i0i2ukdi90a5
Headers: {'date': 'Fri, 27 Jun 2025 20:49:15 GMT', 'content-type': 'application/json', 'x-envoy-upstream-service-time': '192', 'box-request-id': '047041507d74b96040bea6b2ec5c9f168', 'cache-control': 'no-cache, no-store', 'strict-transport-security': 'max-age=31536000', 'via': '1.1 google', 'Alt-Svc': 'h3="":443""; ma=2592000,h3-29="":443""; ma=2592000', 'Transfer-Encoding': 'chunked'}
URL: https://api.box.com/2.0/shared_items
Method: GET
Context Info: None",
Box,News (ACF Field),Hosting a Halloween event? Share your photos! (Field: intro_text_body),https://uofi.app.box.com/f/5c5c7de13d1e4fc4ad82cd82ef58ba36.</p>,https://ahs.uic.edu/inside-ahs/news-stories/hosting-a-halloween-event-share-your-photos/,,,,,"Skipped: Box access failed - Message: Not Found
Status: 404
Code: not_found
Request ID: 99la63i2ukdigi40
Headers: {'date': 'Fri, 27 Jun 2025 20:49:15 GMT', 'content-type': 'application/json', 'x-envoy-upstream-service-time': '143', 'box-request-id': '1dac862bb58d364d1e59517ec2d348382', 'cache-control': 'no-cache, no-store', 'strict-transport-security': 'max-age=31536000', 'via': '1.1 google', 'Alt-Svc': 'h3="":443""; ma=2592000,h3-29="":443""; ma=2592000', 'Transfer-Encoding': 'chunked'}
URL: https://api.box.com/2.0/shared_items
Method: GET
Context Info: None",
PDF,News (ACF Field),Peixuan Zheng receives U.S. Department of Defense Multiple Sclerosis Research Program Early Investigator Research Award (Field: intro_text_body),https://cdmrp.health.mil/funding/pa/HT942524MSRPEIRA_GG.pdf,https://ahs.uic.edu/inside-ahs/news-stories/peixuan-zheng-receives-u-s-department-of-defense-multiple-sclerosis-research-program-early-investigator-research-award/,538827.0,33.0,True,True,StructTreeRoot tag found,
Box,News (ACF Field),"Welcome Krista Stawarz, new UIC campus dietitian (Field: intro_text_body)",https://uofi.box.com/s/khdf27i9bqzxo59r3xe22pv0gsxoe8uj,https://ahs.uic.edu/inside-ahs/news-stories/welcome-krista-stawarz-new-uic-campus-dietitian/,,,,,Skipped: Box access failed - Box file is not a PDF,
Box,News (ACF Field),Ways to engage new AHS students (Field: intro_text_body),https://uofi.box.com/s/ju5ha05nacgrd6kwmyzoq1nk6h4r4ua0,https://ahs.uic.edu/inside-ahs/news-stories/ways-to-engage-new-ahs-students/,80799.0,1.0,True,True,StructTreeRoot tag found,
