Link Type,Location Type,Title,Link,URL,PDF Size (bytes),Page Count,Text-based,Tagged,Notes,Equalify Scan Results
PDF,News (ACF Field),UIC Health Evaluation requirement for student employees (Field: intro_text_body),https://www.hr.uic.edu/UserFiles/Servers/Server_2716/File/d_policies/300/hr315.pdf,https://provost.uic.edu/news-stories/uic-health-evaluation-requirement-student-employees/,,,,,"Download failed: HTTPSConnectionPool(host='www.hr.uic.edu', port=443): Max retries exceeded with url: /UserFiles/Servers/Server_2716/File/d_policies/300/hr315.pdf (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)')))",
Box,Event (ACF Field),12th Annual College of Pharmacy Research Day (Field: description),https://uofi.box.com/s/8uw0azdh81g8oebo3ir57k8hzjl20oww,https://students.pharmacy.uic.edu/events/12th-annual-college-of-pharmacy-research-day/,145740477.0,81.0,TRUE,TRUE,StructTreeRoot tag found,
Box,News (ACF Field),Transformative connections (Field: intro_text_body),https://uofi.box.com/s/ssppxx8e4q19yhol7qwkb28tcw5vy7xr,https://library.uic.edu/news-stories/transformative-connections/,81890655.0,36.0,TRUE,TRUE,StructTreeRoot tag found,
Box,News (ACF Field),CUPPA Urban Scholar Les Pollock Chronicles Trip Around Globe (Field: intro_text_body),https://uofi.box.com/s/8vfsgsv65y9139bav0b8bht80awkv396,https://cuppa.uic.edu/news-stories/cuppa-urban-scholar-les-pollock-chronicles-trip-around-globe/,65427017.0,148.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),"Alice Rivlin Made State and Local Governments Better, Too (Field: intro_text_body)",https://library.unt.edu/gpo/acir/Reports/information/M-16.pdf,https://gfrc.uic.edu/alice-rivlin-made-state-and-local-governments-better-too/,51724580.0,166.0,FALSE,TRUE,Skipped: Only Equalify scan required,
Box,Page (ACF Field),Self-Study (Field: intro_text_body),https://uofi.box.com/s/cczk44yyhs8gxmcjvlv7eweiq3ch54gy,https://sa.uic.edu/about/student-affairs-assessment-2/program-review-2/self-study/,40320160.0,322.0,TRUE,TRUE,StructTreeRoot tag found,
PDF,Page (ACF Field),Hidden Jewels of State Government (Field: intro_text_body),http://www.lbb.state.tx.us/Documents/GAA/General_Appropriations_Act_2018-2019.pdf,https://gfrc.uic.edu/hidden-jewels-of-state-government/,35358219.0,1004.0,TRUE,TRUE,Skipped: Only Equalify scan required,
Box,Event (ACF Field),Samuel in the Clouds (Field: description),https://app.box.com/s/8v0xol1cfni84as9fup6q061t1zufmx2,https://latinocultural.uic.edu/events/samuel-in-the-clouds/,31883260,1,TRUE,FALSE,No StructTreeRoot tag,
Box,News (ACF Field),The Graduate College&#8217;s Fall Newsletter is Out! (Field: intro_text_body),https://uofi.box.com/s/1oszmszvc8py8tbuu6i5wxcq5tynno1k,https://grad.uic.edu/news-stories/newsletter-vol30/,28996373.0,23.0,TRUE,TRUE,StructTreeRoot tag found,
Box,News (ACF Field),SHARE WITH STUDENTS: UIC Cookbook and UIC Grocery Guide developed for UIC students by the Coordinated Program in Dietetics Class of 2020! (Field: intro_text_body),https://uofi.box.com/s/sufzzfj19xdd01md91lwm2nms38uc1k4,https://advising-old.red.uic.edu/news-stories/share-with-students-uic-cookbook-and-uic-grocery-guide-developed-for-uic-students-by-the-coordinated-program-in-dietetics-class-of-2020/,26287248.0,51.0,TRUE,FALSE,No StructTreeRoot tag,
